contrast,ori,side,precue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,fix2.started,precue_2.started,precue_2.stopped,left_grating.started,right_grating.started,noise_left2.started,noise_right2.started,fix1.stopped,fix2.stopped,left_grating.stopped,right_grating.stopped,noise_left2.stopped,noise_right2.stopped,key_resp.started,fix1_2.started,fix2_2.started,key_resp.keys,key_resp.rt,key_resp_2.started,break_text_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
35.3,45,-1,0,1,50,158,6,289.1689776000003,289.1689776000003,289.66947100000107,289.7368739000012,289.78649790000054,289.78649790000054,289.78649790000054,289.78649790000054,289.83632150000085,289.83632150000085,289.83632150000085,289.83632150000085,289.83632150000085,289.83632150000085,289.83632150000085,289.83632150000085,289.83632150000085,right,0.4626224000003276,290.320139200001,290.320139200001,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
39.2,45,1,0,1,51,159,25,290.320139200001,290.320139200001,290.82065090000106,290.8873650000005,290.93768790000104,290.93768790000104,290.93768790000104,290.93768790000104,290.9875522000002,290.9875522000002,290.9875522000002,290.9875522000002,290.9875522000002,290.9875522000002,290.9875522000002,290.9875522000002,290.9875522000002,right,0.5188369999996212,291.53807380000035,291.53807380000035,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
15.7,315,1,0,1,52,160,28,291.53807380000035,291.53807380000035,292.0385357000014,292.1052574000005,292.15555940000013,292.15555940000013,292.15555940000013,292.15555940000013,292.20533520000026,292.20533520000026,292.20533520000026,292.20533520000026,292.20533520000026,292.20533520000026,292.20533520000026,292.20533520000026,292.20533520000026,left,0.5408690000003844,292.7726132000007,292.7726132000007,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
19.6,315,1,-1,1,53,161,101,292.7726132000007,292.7726132000007,293.27313610000056,293.3398448000007,293.3907285000005,293.3907285000005,293.3907285000005,293.3907285000005,293.4399140000005,293.4399140000005,293.4399140000005,293.4399140000005,293.4399140000005,293.4399140000005,293.4399140000005,293.4399140000005,293.4399140000005,right,0.6424387999995815,294.1072572000012,294.1072572000012,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
12.1,45,-1,1,1,54,162,36,294.1072572000012,294.1072572000012,294.6077828000016,294.67502980000063,294.7255139000008,294.7255139000008,294.7255139000008,294.7255139000008,294.77460640000027,294.77460640000027,294.77460640000027,294.77460640000027,294.77460640000027,294.77460640000027,294.77460640000027,294.77460640000027,294.77460640000027,right,0.5315331000001606,295.3257973,295.3257973,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
35.3,315,-1,0,1,55,163,15,295.3257973,295.3257973,295.82624580000083,295.89274470000055,295.94289950000166,295.94289950000166,295.94289950000166,295.94289950000166,295.9934030000004,295.9934030000004,295.9934030000004,295.9934030000004,295.9934030000004,295.9934030000004,295.9934030000004,295.9934030000004,295.9934030000004,left,0.570125399999597,296.5940825000016,296.5940825000016,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
19.6,315,-1,-1,1,56,164,83,296.5940825000016,296.5940825000016,297.0950565000003,297.16081270000177,297.2105870000014,297.2105870000014,297.2105870000014,297.2105870000014,297.260416000001,297.260416000001,297.260416000001,297.260416000001,297.260416000001,297.260416000001,297.260416000001,297.260416000001,297.260416000001,right,0.4865434000003006,297.77765870000076,297.77765870000076,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
35.3,315,1,-1,1,57,165,105,297.77765870000076,297.77765870000076,298.2781074000013,298.34482540000135,298.3951509000017,298.3951509000017,298.3951509000017,298.3951509000017,298.44510140000057,298.44510140000057,298.44510140000057,298.44510140000057,298.44510140000057,298.44510140000057,298.44510140000057,298.44510140000057,298.44510140000057,right,0.5730837999999494,299.04553580000174,299.04553580000174,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
22.7,315,-1,1,1,58,166,48,299.04553580000174,299.04553580000174,299.54609690000143,299.61284930000147,299.66314690000036,299.66314690000036,299.66314690000036,299.66314690000036,299.71302260000084,299.71302260000084,299.71302260000084,299.71302260000084,299.71302260000084,299.71302260000084,299.71302260000084,299.71302260000084,299.71302260000084,right,0.5376730999996653,300.280193300001,300.280193300001,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
35.3,45,1,-1,1,59,167,96,300.280193300001,300.280193300001,300.7806008000007,300.847308800001,300.89761290000024,300.89761290000024,300.89761290000024,300.89761290000024,300.94741480000084,300.94741480000084,300.94741480000084,300.94741480000084,300.94741480000084,300.94741480000084,300.94741480000084,300.94741480000084,300.94741480000084,right,0.5828070999996271,301.54802570000174,301.54802570000174,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
