contrast,ori,side,precue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,fix2.started,precue_2.started,precue_2.stopped,left_grating.started,right_grating.started,noise_left2.started,noise_right2.started,key_resp.started,fix1_2.started,fix2_2.started,key_resp.keys,key_resp.rt,key_resp_2.started,break_text_2.started,key_resp_2.keys,fix1.stopped,fix2.stopped,left_grating.stopped,right_grating.stopped,noise_left2.stopped,noise_right2.stopped,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
15.7,45,-1,-1,3,80,404,73,513.3264685000177,513.3264685000177,513.826990600006,513.8936245000223,513.9439224000089,513.9439224000089,513.9439224000089,513.9439224000089,513.9938236000016,513.9938236000016,513.9938236000016,right,0.5331992999999784,514.5443617000128,514.5443617000128,None,513.9938236000016,513.9938236000016,513.9938236000016,513.9938236000016,513.9938236000016,513.9938236000016,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
15.7,45,1,-1,3,81,405,91,514.5443617000128,514.5443617000128,515.0448606999998,515.1115615000017,515.161878200015,515.161878200015,515.161878200015,515.161878200015,515.2116516000242,515.2116516000242,515.2116516000242,left,0.49910100002307445,515.728736900026,515.728736900026,None,515.2116516000242,515.2116516000242,515.2116516000242,515.2116516000242,515.2116516000242,515.2116516000242,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,315,-1,0,3,82,406,14,515.728736900026,515.728736900026,516.2291339000221,516.2960675000213,516.3463498000056,516.3463498000056,516.3463498000056,516.3463498000056,516.3962080000201,516.3962080000201,516.3962080000201,right,0.4189159999950789,516.846740500012,516.846740500012,None,516.3962080000201,516.3962080000201,516.3962080000201,516.3962080000201,516.3962080000201,516.3962080000201,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
19.6,45,-1,-1,3,83,407,74,516.846740500012,516.846740500012,517.3471708000288,517.4138734000153,517.464189100021,517.464189100021,517.464189100021,517.464189100021,517.5138724000135,517.5138724000135,517.5138724000135,right,0.381088100024499,517.9143378000008,517.9143378000008,None,517.5138724000135,517.5138724000135,517.5138724000135,517.5138724000135,517.5138724000135,517.5138724000135,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,315,1,0,3,84,408,32,517.9143378000008,517.9143378000008,518.4148837000248,518.4815764000232,518.5318244000082,518.5318244000082,518.5318244000082,518.5318244000082,518.5816064000246,518.5816064000246,518.5816064000246,right,0.8016944999981206,519.4158831000095,519.4158831000095,None,518.5816064000246,518.5816064000246,518.5816064000246,518.5816064000246,518.5816064000246,518.5816064000246,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
35.3,315,1,-1,3,85,409,105,519.4158831000095,519.4158831000095,519.9163939999999,519.9830929000163,520.0334006000194,520.0334006000194,520.0334006000194,520.0334006000194,520.0832806000253,520.0832806000253,520.0832806000253,left,0.49184979998972267,520.6005405000178,520.6005405000178,None,520.0832806000253,520.0832806000253,520.0832806000253,520.0832806000253,520.0832806000253,520.0832806000253,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
12.1,315,-1,1,3,86,410,45,520.6005405000178,520.6005405000178,521.1009454000159,521.1677363000053,521.2178946000058,521.2178946000058,521.2178946000058,521.2178946000058,521.2678478000162,521.2678478000162,521.2678478000162,right,0.3241066999908071,521.6180217000074,521.6180217000074,None,521.2678478000162,521.2678478000162,521.2678478000162,521.2678478000162,521.2678478000162,521.2678478000162,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
25.5,315,1,1,3,87,411,67,521.6180217000074,521.6180217000074,522.1184951000032,522.1853208000248,522.2356311000185,522.2356311000185,522.2356311000185,522.2356311000185,522.2854248000076,522.2854248000076,522.2854248000076,left,0.41774120001355186,522.7358782000083,522.7358782000083,None,522.2854248000076,522.2854248000076,522.2854248000076,522.2854248000076,522.2854248000076,522.2854248000076,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
19.6,45,1,-1,3,88,412,92,522.7358782000083,522.7358782000083,523.2364031000179,523.3031281000003,523.3534187000187,523.3534187000187,523.3534187000187,523.3534187000187,523.403149300022,523.403149300022,523.403149300022,left,0.39649389998521656,523.8203078000224,523.8203078000224,None,523.403149300022,523.403149300022,523.403149300022,523.403149300022,523.403149300022,523.403149300022,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
35.3,315,-1,1,3,89,413,51,523.8203078000224,523.8203078000224,524.320653200004,524.3875086000189,524.4378760000109,524.4378760000109,524.4378760000109,524.4378760000109,524.4875054000004,524.4875054000004,524.4875054000004,left,0.5433136000065133,525.0548696000187,525.0548696000187,None,524.4875054000004,524.4875054000004,524.4875054000004,524.4875054000004,524.4875054000004,524.4875054000004,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
12.1,315,-1,0,3,90,414,9,525.0548696000187,525.0548696000187,525.5553946,525.6221503000124,525.6723581000115,525.6723581000115,525.6723581000115,525.6723581000115,525.7220589000208,525.7220589000208,525.7220589000208,right,0.3893501999846194,526.139293300017,526.139293300017,None,525.7220589000208,525.7220589000208,525.7220589000208,525.7220589000208,525.7220589000208,525.7220589000208,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
